FEE	Channel	   Offset	Peaks	       INL	Comment
8	38	  -33.3556	9	  0.999804	
8	39	   41.1463	7	  0.999814	Few Peaks
8	40	  -159.344	9	  0.999769	
8	41	     -20.5	7	  0.999813	Few Peaks
8	42	  -15.4324	8	  0.999544	
8	43	  -234.444	9	  0.999798	
8	44	   350.644	9	  0.999289	
8	45	  -80.9124	6	  0.999889	Few Peaks
8	46	   615.926	5	   0.97744	Bad Fit Few Peaks
8	47	   52.9754	7	  0.999936	Few Peaks
8	48	   91.7808	7	  0.999944	Few Peaks
8	49	  -340.595	6	  0.999242	Few Peaks
8	50	   125.129	4	  0.999944	Few Peaks
8	51	  -26.6304	7	  0.999884	Few Peaks
8	52	     273.5	5	  0.992268	Bad Fit Few Peaks
8	53	    70.217	8	  0.999959	
8	54	  -13.2143	7	  0.999903	Few Peaks
8	55	   41.6926	7	   0.99983	Few Peaks
8	56	     -14.5	2	         1	Perfect Fit?Few Peaks
8	57	       -35	6	   0.99999	Few Peaks
8	58	      80.5	7	  0.988279	Bad Fit Few Peaks
8	59	  -11.5357	7	  0.999981	Few Peaks
8	60	   235.786	8	  0.999945	
8	61	  -352.964	7	  0.999965	Few Peaks
8	62	   1463.17	3	  0.999957	Few PeaksHigh Offset
8	63	  -292.034	6	  0.999986	Few Peaks
8	64	   106.833	3	   0.99999	Few Peaks
9	1	     -15.5	10	  0.999953	
9	2	   121.567	10	  0.999831	
9	3	    -226.3	10	  0.999974	
9	4	     -77.3	10	   0.99996	
9	5	   74.5667	10	  0.999925	
9	6	   265.367	10	  0.999975	
9	7	     187.5	10	  0.999962	
9	8	  -153.767	10	  0.999975	
9	9	  -26.6333	10	   0.99998	
9	10	      -8.3	10	  0.999983	
9	11	     -72.7	10	   0.99997	
9	12	  -71.8333	10	  0.999984	
9	13	   61.9667	10	  0.999978	
9	14	   8.83333	10	  0.999982	
9	15	  -50.4333	10	  0.999944	
9	16	  -15.7667	10	  0.999947	
9	17	   129.433	9	  0.999999	
9	18	   12.1778	9	  0.999919	
9	19	   123.711	9	  0.999998	
9	20	  -110.789	9	   0.99999	
9	21	   99.9333	9	   0.99999	
9	22	  -361.033	9	  0.999996	
9	23	  -72.3444	9	   0.99999	
9	24	  -97.6667	9	  0.999919	
9	25	  -76.9667	9	  0.999992	
9	26	  -239.789	9	  0.999996	
9	27	  -227.578	9	  0.999936	
9	28	  -207.244	9	  0.999998	
9	29	    -196.7	9	  0.999982	
9	30	   88.1444	9	  0.999984	
